country,population,continent,average_gdp,total_suicides,average_gdp_per_capita,average_suicides_per_100k_pop
Albania,3029700,Europe,5211661212.14,1970,1859.05,3.14
Antigua and Barbuda,91889,Americas,803545216.7,11,10448.19,0.54
Argentina,39699624,Americas,274256497624.61,82219,7914.1,7.91
Armenia,3610516,Asia,5207441379.83,1838,1807.46,2.46
Aruba,95488,Americas,2196223463.79,101,24221.64,8.1
Australia,22240785,Oceania,632750138055.83,70111,32776.4,13.01
Austria,8219386,Europe,262661848329.48,48872,33920.0,20.86
Azerbaijan,7921100,Asia,7210687311.81,1656,1005.12,1.49
Bahamas,348959,Americas,7613828252.17,93,25836.39,1.41
Bahrain,1214492,Asia,16086468389.1,463,18039.52,2.9
Barbados,265165,Americas,3090573896.04,177,12251.0,2.94
Belarus,9694800,Europe,30676414843.48,59892,3333.9,30.23
